Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
800,5168,5168,74990,56363,0.92,4777,76428,59845,0.14,741,-7109,-5354,5168,77465,58802,5168,2423,917,0.05,246,76899,22887,0.05,238,55931,10500,0.87,4475,22583,12806,7324,74077,11624
810,21449,21449,66197,55311,0.87,18675,67931,59999,0.2,4228,-4989,-3723,21449,68729,57663,21449,2484,1047,0.08,1792,87283,30475,0.08,1692,58678,12751,0.82,17484,18948,13302,25039,119697,42545
812,11170,11170,64626,56496,0.88,9797,67487,60989,0.2,2266,-5063,-3785,11170,66892,58560,11170,2214,1036,0.07,769,79961,33599,0.07,740,56098,16228,0.83,9226,17661,13313,13262,126783,53552
820,13186,13186,80947,63161,0.89,11690,77029,65904,0.23,3047,-4251,-3420,13186,84033,65872,13186,2864,1228,0.07,912,90982,25532,0.07,871,60852,13101,0.85,11271,25007,15371,15877,143697,46748
822,6279,6279,48181,36292,0.91,5707,46538,35992,0.1,642,-3954,-2660,6279,49652,36858,6279,1380,340,0.04,264,75433,31241,0.04,255,55751,16282,0.68,4256,13117,7785,9351,49967,10471
828,726,726,70823,57990,0.86,621,63792,58993,0.2,144,170,-873,726,73251,59960,726,2248,814,0.08,60,141407,62498,0.08,59,136920,29537,0.84,613,21443,13002,915,103425,35566
829,345,345,62359,62777,0.96,330,63293,66047,0.08,28,-8612,-8532,345,65764,66239,345,3298,2644,0.02,7,104564,69587,0.02,7,65270,33989,0.94,324,13269,11907,402,68568,32915
830,11232,11232,67718,59214,0.92,10295,69321,62894,0.17,1954,-6789,-5537,11232,70182,61716,11232,2418,1200,0.06,620,175870,35402,0.05,606,152117,16132,0.84,9434,18647,13892,13264,96934,48493
832,10529,10529,72318,63838,0.94,9918,75321,68062,0.16,1730,-7385,-5133,10529,75062,66557,10529,2714,1544,0.05,520,79856,24488,0.05,509,59041,13165,0.87,9134,19899,14927,11408,91113,51171
835,3052,3052,72853,61348,0.84,2559,76066,67183,0.26,786,-7142,-4946,3052,75522,63354,3052,2568,1080,0.1,295,115341,49120,0.1,294,82668,23664,0.83,2539,21345,15594,3481,150104,80281
836,4947,4947,71130,60531,0.86,4242,74723,66538,0.21,1055,-5845,-4537,4947,73714,62889,4947,2489,1045,0.09,461,101471,45385,0.09,455,73026,23613,0.83,4117,20438,15241,5717,122762,69596
837,536,536,61189,49098,0.74,399,66810,60143,0.18,98,-2736,-3162,536,63757,51124,536,2322,629,0.13,69,109963,39118,0.13,72,77770,15046,0.77,412,17779,12562,660,107246,53097
